id,title,motion,manual motion,govt/opp motion,motion party affiliation,utt1,utt2,utt3,utt4,utt5,manual speech,vote speech,party affiliation,name,rebellion %
56,"Orders of the Day
–
Armed Forces (Parliamentary Approval for Participation in Armed Conflict) Bill
–
Order for Second Reading read.–[Queen's Consent, on behalf of the Crown, signified.]",That the Bill be now read a Second time.,1,1,Lab,"Does the right hon. Lady agree that one of the critical points about the Bill is that the consideration should happen before the deployment of troops, which means that this House would not get bounced into taking a decision? When the party that forms the Government is backed by only one in five voters—furthermore, some parts of the Labour party do not support the Prime Minister—it creates a dangerous situation in which too much power is concentrated in one individual.","Does my hon. Friend agree that, in commitment to the rule of law, Parliament is responsible for ensuring that military action is lawful before troops are employed? Does he also agree that it is rather sad that so few—I count about seven—Conservative Members are present, thus showing their lack of commitment to ensuring that military action is lawful before troops are employed?",,,,1,1,LD,John Hemming,1.6
56,"Orders of the Day
–
Armed Forces (Parliamentary Approval for Participation in Armed Conflict) Bill
–
Order for Second Reading read.–[Queen's Consent, on behalf of the Crown, signified.]",That the Bill be now read a Second time.,1,1,Lab,"The right hon. Lady says that we owe this measure to the armed forces. I was in Iraq in early March this year, and I was surprised by the number of senior officers who volunteered to tell me that they questioned the legal authority for participation in the war. The Bill would go some distance towards repaying what we owe them.","May I support the hon. Gentleman's argument by saying that, allegedly, according to the Government, there was a convention that the Attorney-General's full opinion should not be disclosed, although that was proved to be wrong? This Bill would make sure that that opinion was also produced.",One difference is that we would have seen the full opinion of the Attorney-General. I gather from many Labour Members that their opinion would have changed if they had read that document.,Can the hon. Gentleman explain why his party officially supported a motion in my name and that of other Members calling for publication of the full opinion about a year and a half ago?,,1,1,PC,Elfyn Llwyd,0.5
56,"Orders of the Day
–
Armed Forces (Parliamentary Approval for Participation in Armed Conflict) Bill
–
Order for Second Reading read.–[Queen's Consent, on behalf of the Crown, signified.]",That the Bill be now read a Second time.,1,1,Lab,"I am slightly puzzled by more than one dimension of the hon. Gentleman's argument, but one in particular. There was a vote—in fact, there were three, as the hon. Member for North Wiltshire said—before taking military action in Iraq. Why does that vote not affect his view of the legitimacy of that conflict? ",When there is a Labour Government.,"I am happy to intervene and I thank my hon. Friend for giving way. The point I was making is that Lord Hurd was in government for many years, but restrained himself from making that very point. Lord Hurd's point, if he had continued it, would be to put it in brackets at the end that he would be happy to have those powers as long as there was a Labour Government.","On the benefit to service personnel, if we were to make a retrospective agreement or legislation that an action had authority and was therefore legal, troops could carry out actions in positions where it was not necessarily legal for them to be when they were doing them. We can imagine Tommy Atkins getting to the end of his fight and asking his platoon sergeant, ""QUOTATION"" and his platoon sergeant saying, ""QUOTATION"".",My point is that troops could be carrying out action at a time at which it would not be legal. Is the hon. Gentleman trying to say that troops would be happy to carry out action that could subsequently be determined as unlawful?,0,0,Lab,Eric Joyce,0.8
56,"Orders of the Day
–
Armed Forces (Parliamentary Approval for Participation in Armed Conflict) Bill
–
Order for Second Reading read.–[Queen's Consent, on behalf of the Crown, signified.]",That the Bill be now read a Second time.,1,1,Lab,The hon. Gentleman began by saying that the Bill would have all sorts of terrible consequences. Now he appears to argue that it would have no consequences. Which is it?,"I am reading clause 2, as the hon. Gentleman must be, and I cannot see any obligation under it to provide the House with information of the sort that he described. There is a power for the Prime Minister to make such information available, but he does not have to do so.",,,,1,1,LD,David Howarth,1.0
56,"Orders of the Day
–
Armed Forces (Parliamentary Approval for Participation in Armed Conflict) Bill
–
Order for Second Reading read.–[Queen's Consent, on behalf of the Crown, signified.]",That the Bill be now read a Second time.,1,1,Lab,"The hon. Gentleman talks about changing circumstances, but is it not the case that future wars are more likely to be fought on the basis of intelligence than on the basis of circumstances that can be seen? We have already had one war based on flawed intelligence. Would not the Bill oblige the Government to produce the beef and show us the intelligence so that we could make up our own minds about the circumstances that existed?",How would the hon. Gentleman feel if the evidence was made available to the Intelligence and Security Committee?,,,,1,1,Con,Richard Ottaway,1.8
56,"Orders of the Day
–
Armed Forces (Parliamentary Approval for Participation in Armed Conflict) Bill
–
Order for Second Reading read.–[Queen's Consent, on behalf of the Crown, signified.]",That the Bill be now read a Second time.,1,1,Lab,"I am enjoying my hon. Friend's speech. Will he comment on what would occur if peacekeeping or peace-enforcement operations were to be affected by mission creep and we found ourselves involved in armed conflict? What would happen if Parliament were required to give retrospective approval, and what would the consequences be if that approval were denied?",,,,,0,0,Lab,Angela C. Smith,0.5
56,"Orders of the Day
–
Armed Forces (Parliamentary Approval for Participation in Armed Conflict) Bill
–
Order for Second Reading read.–[Queen's Consent, on behalf of the Crown, signified.]",That the Bill be now read a Second time.,1,1,Lab,"I understand the challenges that would face Members if they had to hold the Executive to account in a debate on whether or not we were going to war. Does the hon. Gentleman believe that members of the Executive, who are civilians too, are higher beings and therefore not so susceptible in the face of such challenges?",,,,,1,1,LD,Tim Farron,2.1
56,"Orders of the Day
–
Armed Forces (Parliamentary Approval for Participation in Armed Conflict) Bill
–
Order for Second Reading read.–[Queen's Consent, on behalf of the Crown, signified.]",That the Bill be now read a Second time.,1,1,Lab,"Does my hon. Friend agree that the sort of points that my right hon. Friend the Leader of the House and my hon. Friend the Member for Hendon made should be raised in Committee? Today, we are dealing with the broad principles of the measure. The detail can be debated in full in Committee. Perhaps some amendment will be needed to take account of the sort of objections that have been raised.",,,,,1,1,Lab,David Lepper,0.7
56,"Orders of the Day
–
Armed Forces (Parliamentary Approval for Participation in Armed Conflict) Bill
–
Order for Second Reading read.–[Queen's Consent, on behalf of the Crown, signified.]",That the Bill be now read a Second time.,1,1,Lab,"It is significant that, with a couple of notable eccentric exceptions, the majority of Members who have spoken against the Bill have done so not on the basis of principle—parliamentary scrutiny and approval of proposed armed conflicts—but on the two themes of necessity and the problems associated with implementation. I shall deal with those themes one at a time.","On necessity, it is argued that following the events in the run-up to the Iraq war a convention has been established or the principles have been set, or the promises have been made, that make any future move towards armed conflicts a matter that will inevitably come before the House for a substantive vote. That may be the case. It may be that it is inevitable, now that the precedent has been set and perhaps a convention established. However, that is not the point.",It is not the point because such conventions and such principles would not provide for a proper legal framework for consideration. They would not provide for reliable information to be in front of the House on which it could base its consideration and its decision; they would not allow for proper scrutiny; and they would not guarantee approval in advance. It is important that we have a proper legal framework. Perhaps it is even more important that that framework is established to ensure proper consideration not only in the Houses of Parliament but in the Government. If one thing is evident from the way that we went into the conflict in Iraq it is that such proper consideration did not take place. The House should support the Bill for the sake of the Government's democratic accountability and proper consideration within Government.,"The Bill is not just about Iraq, although many of us still feel very bitterly the anger and betrayal of that appalling blunder, and are reminded of it with every suicide bomb that explodes and every day's newspapers that we open in which we read of events there. As my hon. Friend the Member for Walthamstow pointed out earlier, we should support the Bill not just because of our opposition to the war in Iraq, but because of our experience of the way in which we went into that war. Hon. Members on both sides of the Chamber who have spoken today in support of the Bill may take very different views on the armed conflict, but they want to ensure that any future potential armed conflict is given proper consideration in the House and by the Government.","The other criticism of the Bill has related to problems associated with it. Inevitably, some legitimate issues have been raised about the Bill's implementation, but all are matters that can be sorted out in Committee. In my very limited experience, the problems with the Bill are no greater than those with many other Bills making their first appearance in the House. When we were moving inexorably, as it seemed, towards the Iraq war, many inside and outside the House campaigned under the banner ""QUOTATION"". The Bill gives us an opportunity to say that, in future, without proper consideration, information and consent, it will be never again in our name.",1,1,Lab,Peter Soulsby,3.1
56,"Orders of the Day
–
Armed Forces (Parliamentary Approval for Participation in Armed Conflict) Bill
–
Order for Second Reading read.–[Queen's Consent, on behalf of the Crown, signified.]",That the Bill be now read a Second time.,1,1,Lab,"That is an interesting argument. On that basis, any country that feels under threat from any other country at any time would be justified in taking pre-emptive action. Is not that a recipe for endless war?","That is a very good argument for reform of the House of Lords to make it a more democratic establishment. But are there not many countries around the world whose Governments would find themselves in a seriously illegal position if they went to war without parliamentary approval? Why should this country be any different, and why does my hon. Friend defend those mediaeval powers? I thought that he was a man of progress.","I am interested in the Leader of the House's speech. Why does he not say what is really behind his position? He is defending the mediaeval royal prerogative to take this country to war. Many other countries, including the United States, do not have such a power, but have parliamentary scrutiny on going to war. Why should this country not have the same arrangements?",,,1,1,Lab,Jeremy Corbyn,25.1
56,"Orders of the Day
–
Armed Forces (Parliamentary Approval for Participation in Armed Conflict) Bill
–
Order for Second Reading read.–[Queen's Consent, on behalf of the Crown, signified.]",That the Bill be now read a Second time.,1,1,Lab,"I have been listening with interest—all this is indeed very interesting—but my hon. Friend has not really answered on his first point, which was that it was right for the Prime Minister to go to war in 2003. Could it be that it was considered right only because the Prime Minister knew in advance that he had the support of the Opposition and would therefore win the vote?",,,,,1,1,Lab,Colin Challen,3.5
57,Terrorism Bill (Programme) (No. 2),"That the Order of 26th October 2005 (Terrorism Bill (Programme)) be varied as follows:
For paragraph 3 (proceedings on consideration) substitute—
      '3.   Proceedings on consideration shall be taken in the order shown in the first column of the following Table and shall be brought to a conclusion (so far as not previously concluded) at the times specified in the second column.
                TABLE
                        Proceedings .                                                                                                                 Time for conclusion of proceedings
                        Amendments relating to Clause 23, new Clauses .                                                       Three hours after the commencement of proceedings on consideration.
                        Amendments relating to Clauses 1 to 22, remaining proceedings on consideration .   Three hours after the commencement of proceedings on Amendments relating to Clause 1.'",1,1,Lab,"I do not disagree with anything that the hon. Gentleman is saying, but does he agree that if the House cannot debate these matters adequately, that will encourage even closer scrutiny—if such is possible—in the other place, and the inevitable amendments? Such scrutiny, however, should be carried out by the elected House and not the unelected House.",,,,,0,0,LD,David Heath,0.5
57,Terrorism Bill (Programme) (No. 2),"That the Order of 26th October 2005 (Terrorism Bill (Programme)) be varied as follows:
For paragraph 3 (proceedings on consideration) substitute—
      '3.   Proceedings on consideration shall be taken in the order shown in the first column of the following Table and shall be brought to a conclusion (so far as not previously concluded) at the times specified in the second column.
                TABLE
                        Proceedings .                                                                                                                 Time for conclusion of proceedings
                        Amendments relating to Clause 23, new Clauses .                                                       Three hours after the commencement of proceedings on consideration.
                        Amendments relating to Clauses 1 to 22, remaining proceedings on consideration .   Three hours after the commencement of proceedings on Amendments relating to Clause 1.'",1,1,Lab,"I took exception to very little that was said by the hon. Member for Beaconsfield. Like him, we consider the timetable motion defective, but like him I see no reason for us to divide the House on it. I accept the Home Secretary's point that some small measure of protection for the business has been made available, and that small amount of extra time is indeed welcome. Nevertheless, without second-guessing the way in which today's business will proceed, I think it very likely that we shall not go beyond the first string of amendments before the first knife falls after three hours. As the hon. Member for Beaconsfield pointed out, that will leave the stop-and-search provisions proposed in new clause 8 entirely undiscussed. Surely that is too important a subject to leave this House without any proper discussion being placed on the record.","I also think that a great deal of important business will remain undiscussed under the second group of amendments. The House will have to choose between holding its tongue and restricting its comments on clause 1 and the question of intention if we are to secure any meaningful discussion on the crucial question of glorification. As a result, questions as fundamental as the definition of terrorism itself will almost certainly be left undebated. As a result of that, the only meaningful scrutiny will be carried out in the other place. If the Government are content to proceed in that way, they cannot then complain that the unelected House has interfered with or changed the Bill when it makes the amendments that are inevitable.","The programme motion strikes me as an exceptionally inappropriate way for the Government to order our business. I hope that, even at this stage, they may see sense and allow further time tomorrow if necessary.",,,0,0,LD,Alistair Carmichael,1.1
57,Terrorism Bill (Programme) (No. 2),"That the Order of 26th October 2005 (Terrorism Bill (Programme)) be varied as follows:
For paragraph 3 (proceedings on consideration) substitute—
      '3.   Proceedings on consideration shall be taken in the order shown in the first column of the following Table and shall be brought to a conclusion (so far as not previously concluded) at the times specified in the second column.
                TABLE
                        Proceedings .                                                                                                                 Time for conclusion of proceedings
                        Amendments relating to Clause 23, new Clauses .                                                       Three hours after the commencement of proceedings on consideration.
                        Amendments relating to Clauses 1 to 22, remaining proceedings on consideration .   Three hours after the commencement of proceedings on Amendments relating to Clause 1.'",1,1,Lab,"I do not wish to be churlish, and I congratulate the Home Secretary on producing a programme motion that is an improvement on the previous position. I certainly will not vote against it, and I am happy to congratulate the right hon. Gentleman on having listened to the complaints that we made before the general election about the time allocated to a similar Bill. He has tried to respond according to the standards of today's practice, and the House is in his debt to that extent.","It is, in fact, the standards of today's practice on which I wish, briefly, to comment. As well as trying to avoid being churlish in the House—I hope–I try to avoid overdoing the ""QUOTATION"" bit, and lamenting the fact that things are not what they were. But things are dramatically different from what they were, and I cannot hold my tongue on this occasion.","I believe that if such a controversial Bill involving such changes in individual liberty had been produced 10 years ago by a Conservative Government with such a timetable, there would have been a major row. Twenty years ago, such an allocation of time for a Bill of this kind would have been regarded as laughable, and it would not have been entertained by the usual channels during the Thatcher Government. Thirty years ago, if a Conservative Government had proposed a Bill of this kind, several days of debate would have been allowed before any guillotine curtailing debate would have even been contemplated. Had anyone tried to force through a guillotine of this severity, I should have expected the sitting to be suspended as Labour Members caused disorder and began to run away with the Mace, or something of the kind, to give visual expression to their constitutional outrage.","There is a serious point behind all this. I think that the House is becoming accustomed to a shortness of debate and a lack of scrutiny of legislation that is on the verge of becoming ridiculous, given the complexity of this Bill. I see no reason whatever why the House should have to rise shortly after 7 pm today and at a similar time tomorrow. The suspension of the rule to allow us at least to sit on through the evening until such time as the Government's business managers decide to try to call a vote to end the debate would constitute a very elementary extension of debating time, which would cause merely minor inconvenience to a few Members and no real affront to the House.","I also agree with the hon. Member for Orkney and Shetland that the present situation underlines the case for not tampering with the powers of the House of Lords. I strongly believe that the House of Lords should be reformed; it lacks legitimacy and we need a much stronger Upper House. If this House is to continue to deal with matters of this importance in such a cursory fashion, it becomes all the more important that the whole Bill be properly scrutinised, and that the Lords force us to look again at, and to discuss in more detail, some of the other very serious aspects of this Bill.",0,0,Con,Kenneth Clarke,6.5
57,Terrorism Bill (Programme) (No. 2),"That the Order of 26th October 2005 (Terrorism Bill (Programme)) be varied as follows:
For paragraph 3 (proceedings on consideration) substitute—
      '3.   Proceedings on consideration shall be taken in the order shown in the first column of the following Table and shall be brought to a conclusion (so far as not previously concluded) at the times specified in the second column.
                TABLE
                        Proceedings .                                                                                                                 Time for conclusion of proceedings
                        Amendments relating to Clause 23, new Clauses .                                                       Three hours after the commencement of proceedings on consideration.
                        Amendments relating to Clauses 1 to 22, remaining proceedings on consideration .   Three hours after the commencement of proceedings on Amendments relating to Clause 1.'",1,1,Lab,"I simply do not believe that there is enough time to understand the unexplained contradictions between the philosophy behind this legislation and that behind the Northern Ireland peace process. I have persistently sought to work constructively with the Government, and particularly the Northern Ireland Office, to ensure significant progress in Northern Ireland, and to that extent I agree that the Government can take some credit for what has happened there, but I find very frustrating the virtual absence in these debates—probably owing to time pressure—of any significant explanation as to why the Home Office takes such a different approach to this legislation from the one we are expected to support for Northern Ireland.","The Government need the time to explain why, for example, internment, which was universally regarded as having failed in the Province, is now proposed as a solution to international terrorism. There is a grain of explanation in the form of a comment yesterday by the Under-Secretary of State for Northern Ireland, the hon. Member for St. Helens, South: ""QUOTATION"". Well, it does not seem very different to the victims of terrorism in Northern Ireland. If the Government want our support and sympathy in these difficult times, they need to provide themselves with enough time to explain the apparent contradictions writ large–certainly in the eyes of Northern Ireland residents–as the Government increasingly try to suggest that there are two different kinds of terrorism. Furthermore, and perhaps ironically, only today Northern Ireland offences legislation is being published–","Even more contradictions are thrown up by other legislation, but I shall not go into them now, Mr. Speaker.","The Secretary of State should realise that his decision on the time for debate necessarily prevents a profound understanding of why the Government believe that they are being consistent and joined up in their thinking with regard to Northern Ireland terrorism and international terrorism. Of course the Government can force these things through in a short period, but I warn the Home Secretary that if he insists on doing so with inadequate explanation, not only will he create resentments in the Chamber, but the ramifications of the programme motion for today's Bill are likely to cause significant and practical obstructions that could well prevent the Government from passing other Bills that they desperately want passed in respect of Northern Ireland.","Let us have a fast debate if that is what the Home Secretary wants, but let us recognise that the Government will pay many times over in delay and obstruction, particularly in the other place, because our good will on Northern Ireland matters has been utterly exhausted.",0,0,LD,Lembit Öpik,2.9
57,Terrorism Bill (Programme) (No. 2),"That the Order of 26th October 2005 (Terrorism Bill (Programme)) be varied as follows:
For paragraph 3 (proceedings on consideration) substitute—
      '3.   Proceedings on consideration shall be taken in the order shown in the first column of the following Table and shall be brought to a conclusion (so far as not previously concluded) at the times specified in the second column.
                TABLE
                        Proceedings .                                                                                                                 Time for conclusion of proceedings
                        Amendments relating to Clause 23, new Clauses .                                                       Three hours after the commencement of proceedings on consideration.
                        Amendments relating to Clauses 1 to 22, remaining proceedings on consideration .   Three hours after the commencement of proceedings on Amendments relating to Clause 1.'",1,1,Lab,"It was right for the Government to take the Committee stage on the Floor of the House, because the Bill affects every one of us and all those we represent. No one assembled here in the House doubts the importance of the issues before us. In fact, the Bill has many of the features that would, in the old days, have made it be viewed as a constitutional Bill. As a general rule, such constitutional Bills of major importance were never guillotined. Every one of us should have the opportunity to justify, query or give reason to our anxieties about the Bill. I am struck by the fact that we have not concluded any detailed scrutiny of the substance of the Bill before our consideration on Report and before Third Reading.","My concern is that the debate is so staggered or staged that it seems almost impossible to reach some of the key concepts within the Bill. I therefore want to ask the Government whether this is an act of cynicism. Is it a deliberate attempt to ensure that the House will not be able reach the provisions on stop and search, or perhaps on commission of offences abroad or glorification? I believe that denying the House of Commons the proper opportunity to examine the Bill does not serve the Government's own cause of arguing their case to the country.",,,,0,0,Con,Richard Shepherd,3.9
57,Terrorism Bill (Programme) (No. 2),"That the Order of 26th October 2005 (Terrorism Bill (Programme)) be varied as follows:
For paragraph 3 (proceedings on consideration) substitute—
      '3.   Proceedings on consideration shall be taken in the order shown in the first column of the following Table and shall be brought to a conclusion (so far as not previously concluded) at the times specified in the second column.
                TABLE
                        Proceedings .                                                                                                                 Time for conclusion of proceedings
                        Amendments relating to Clause 23, new Clauses .                                                       Three hours after the commencement of proceedings on consideration.
                        Amendments relating to Clauses 1 to 22, remaining proceedings on consideration .   Three hours after the commencement of proceedings on Amendments relating to Clause 1.'",1,1,Lab,"I want briefly to reinforce the point made by the hon. Member for South Staffordshire—that the House should be involved and at the heart of scrutiny of this legislation. In particular, after eight years in this place, I saw last week that the House of Commons was finally adopting a supreme role in trying to revise and improve the Bill. As I said in an earlier intervention, it became apparent to the House last week that in respect of the commissioning of offences abroad, there was greater concern than had first appeared when the Bill was probed in Committee. It is disappointing that the Government are introducing a programme motion that almost guarantees that there will be no follow-on from last week to this week. That effectively hands back to the House of Lords the job of scrutinising the detail of legislation–a major error. At business questions last week, my hon. Friend the Member for Somerton and Frome made the point that the Government should find more time to debate the Bill. It is not yet too late for the Government to recognise that, if the House is to build on what happened last week and to remain the dominant scrutiny Chamber, more time is required to debate the Bill on Report.",,,,,0,0,LD,Robert Smith,0.6
57,Terrorism Bill (Programme) (No. 2),"That the Order of 26th October 2005 (Terrorism Bill (Programme)) be varied as follows:
For paragraph 3 (proceedings on consideration) substitute—
      '3.   Proceedings on consideration shall be taken in the order shown in the first column of the following Table and shall be brought to a conclusion (so far as not previously concluded) at the times specified in the second column.
                TABLE
                        Proceedings .                                                                                                                 Time for conclusion of proceedings
                        Amendments relating to Clause 23, new Clauses .                                                       Three hours after the commencement of proceedings on consideration.
                        Amendments relating to Clauses 1 to 22, remaining proceedings on consideration .   Three hours after the commencement of proceedings on Amendments relating to Clause 1.'",1,1,Lab,"I endorse what has been said so far, and wish to make two other brief points. I also have a question for the Home Secretary which I hope will shorten the debate to come.","Colleagues from three different parties on the Opposition Benches have argued that they accept that the programme motion gives more time for debate, but that we will still be hugely constrained. The Government's approach has two obvious defects. First, people outside the House who are not satisfied with Parliament and who have little respect for it will be able to say much more easily that we do not do our job properly or thoroughly and that we rush through important legislation. The central proposition for debate today is that we should make the period for which a person can be detained without charge six times as long as it currently is. Surely that merits a debate that is not constrained? There is no need to constrain debate, and the view that the Government should adopt a different approach is widespread.","Secondly, the Government and the Home Secretary often criticise the House of Lords for being unelected and for interfering in the decisions of the elected House. It is impossible to criticise the Lords validly if this House cannot debate properly all the propositions that the Government put to it. The House of Lords then has an additional duty to make up for our failure in that respect.",The House of Lords does not have a guillotine procedure. The debate there will go on for as long as people want to contribute to it. If ever there were a Bill that needed to be debated at somewhat greater length—and for which time was available—this must be it.,"I turn now to my question for the Home Secretary, which follows the question posed by the hon. Member for Banff and Buchan about the advice of the Scottish law officer. The right hon. Gentleman's answer to that question might shorten debate later: his answer to my question will do the same, and make it easier for him to make his case. The Home Secretary got into difficulties last week when it came to explaining the legal advice that he received and its provenance, but my question does not ask him to reveal the content of the advice from the Attorney-General. It is this: who gives him advice as to whether the Bill, or any part of it, complies with the European convention on human rights? Is it internal legal advice from his Department–",0,0,LD,Simon Hughes,1.3
58,Crossrail Bill [Instruction No. 2],"That it be a further Instruction to the Select Committee to which the Crossrail Bill is committed—
(1) that it have power to consider—
      (a) the extension of permitted development under the Town and Country Planning (General Permitted Development) Order 1995 in relation to development which is the subject of environmental assessment in connection with the Bill;
      (b) additional power to carry out works for the purpose of reinstating facilities whose operation or use is discontinued because of the exercise of powers conferred by the Bill;
      (c) provision relating to the abstraction of water;
      (d) alterations to the provision which is now made in the Bill regarding planning permission for development authorised by the Bill which consists of a work other than a scheduled work;
      (e) alterations to the provision which is now made in the Bill regarding the application of provisions of the Bill to things authorised by an order under section 1 of the Transport and Works Act 1992;
      (f) alterations to the provision which is now made in the Bill regarding any of the following—
            (i) a crossover at Farringdon;
            (ii) sidings at Westbourne Park;
            (iii) diversion of the Moorgate Station Sewer;
            (iv) a jetty and conveyor at West India Docks South;
            (v) use of the River Lea for barge loading and holding areas;
            (vi) realignment of the Docklands Light Railway at Custom House;
            (vii) facilities for handling excavated materials at Manor Wharf;
            (viii) a shaft at Eleanor Street;
            (ix) diversion of the Hackney to Abbey Mills Sewer and the Wick Lane Sewer;
            (x) a bridge over Hollow Hill Lane, Langley;
      (g) realignment of the proposed running tunnel beneath Shorts Gardens, Camden;
      (h) alterations to a ticket hall at the proposed Whitechapel Station;
      (i) alterations to the provision which is now made in the Bill regarding approval in relation to highway accesses;
      (j) alterations to the provision which is now made in the Bill regarding the acquisition of land at Basin Approach, Lowell Street and land at Billingsgate Market;
      (k) alterations to the provision which is now made in the Bill regarding the creation and acquisition of easements or other rights over land;
      (l) alterations to the table in paragraph 1 of Schedule 8 to the Bill (disapplication and modification of heritage controls), so far as relating to the City of Westminster, the City of London and the London Borough of Tower Hamlets;
      (m) the inclusion of additional land within the limits of land to be acquired or used;
and, if it thinks fit, to make amendments to the Bill with respect to any of the matters mentioned above, and for connected purposes;
(2) that any Petition against Amendments to the Bill which the Select Committee to which the Crossrail Bill is committed is empowered to make shall be referred to that Select Committee if—
      (a) it is presented by being deposited in the Private Bill Office not later than the end of the period of four weeks beginning with the day on which the first newspaper notice of the Amendments was published or, if that period includes any time during which the House is adjourned for more than four days, not later than five weeks beginning with that day, and
     (b) it is one in which the Petitioners pray to be heard by themselves, their Counsel or Agents.
        That these Orders be Standing Orders of the House.
",1,1,Lab,"Assuming that the House passes the motion, I welcome the fact that the Select Committee will be given an instruction to examine the extension from Maidenhead to Reading. One issue is the cost of the necessary works, some of which relate to existing capacity problems at Reading station. Changes to that capacity have been on Network Rail's list of works to do for some time, but sadly there is little prospect of their being undertaken immediately. I want to clarify that the Select Committee will not get hung up on that aspect of the extension and will be able to examine the benefits to Crossrail of an extension from Maidenhead to Reading, rather than rejecting the extension simply because Network Rail is not doing the work that it should to increase capacity at Reading station.",,,,,1,1,Con,Theresa May,1.0
58,Crossrail Bill [Instruction No. 2],"That it be a further Instruction to the Select Committee to which the Crossrail Bill is committed—
(1) that it have power to consider—
      (a) the extension of permitted development under the Town and Country Planning (General Permitted Development) Order 1995 in relation to development which is the subject of environmental assessment in connection with the Bill;
      (b) additional power to carry out works for the purpose of reinstating facilities whose operation or use is discontinued because of the exercise of powers conferred by the Bill;
      (c) provision relating to the abstraction of water;
      (d) alterations to the provision which is now made in the Bill regarding planning permission for development authorised by the Bill which consists of a work other than a scheduled work;
      (e) alterations to the provision which is now made in the Bill regarding the application of provisions of the Bill to things authorised by an order under section 1 of the Transport and Works Act 1992;
      (f) alterations to the provision which is now made in the Bill regarding any of the following—
            (i) a crossover at Farringdon;
            (ii) sidings at Westbourne Park;
            (iii) diversion of the Moorgate Station Sewer;
            (iv) a jetty and conveyor at West India Docks South;
            (v) use of the River Lea for barge loading and holding areas;
            (vi) realignment of the Docklands Light Railway at Custom House;
            (vii) facilities for handling excavated materials at Manor Wharf;
            (viii) a shaft at Eleanor Street;
            (ix) diversion of the Hackney to Abbey Mills Sewer and the Wick Lane Sewer;
            (x) a bridge over Hollow Hill Lane, Langley;
      (g) realignment of the proposed running tunnel beneath Shorts Gardens, Camden;
      (h) alterations to a ticket hall at the proposed Whitechapel Station;
      (i) alterations to the provision which is now made in the Bill regarding approval in relation to highway accesses;
      (j) alterations to the provision which is now made in the Bill regarding the acquisition of land at Basin Approach, Lowell Street and land at Billingsgate Market;
      (k) alterations to the provision which is now made in the Bill regarding the creation and acquisition of easements or other rights over land;
      (l) alterations to the table in paragraph 1 of Schedule 8 to the Bill (disapplication and modification of heritage controls), so far as relating to the City of Westminster, the City of London and the London Borough of Tower Hamlets;
      (m) the inclusion of additional land within the limits of land to be acquired or used;
and, if it thinks fit, to make amendments to the Bill with respect to any of the matters mentioned above, and for connected purposes;
(2) that any Petition against Amendments to the Bill which the Select Committee to which the Crossrail Bill is committed is empowered to make shall be referred to that Select Committee if—
      (a) it is presented by being deposited in the Private Bill Office not later than the end of the period of four weeks beginning with the day on which the first newspaper notice of the Amendments was published or, if that period includes any time during which the House is adjourned for more than four days, not later than five weeks beginning with that day, and
     (b) it is one in which the Petitioners pray to be heard by themselves, their Counsel or Agents.
        That these Orders be Standing Orders of the House.
",1,1,Lab,"The people of Hackney are glad that the Government are making progress on the Crossrail project. There is no objection in principle to the Select Committee taking petitions about the extension from Maidenhead to Reading. However, the people of Hackney and the east end would be concerned if the project became so unmanageable that it ran into the sand. Will the Secretary of State assure the people of Hackney that the Government will give it good speed, that we will guard against its becoming unmanageable, that the finance will be available for the railway, for which my constituents have waited so long, and that, when we have built Crossrail, we can move on to Crossrail 2—the Chelsea to Hackney line?",,,,,1,1,Lab,Diane Abbott,7.8
